             VARIABLE : Long Term Mean Monthly Means of Sea Surface Temperature (degC)
             DATA SET : NOAA ERSSTv5 (in situ only)
             FILENAME : NOAA_ERSST_V5_1981-2010.nc
             BAD FLAG : -9.969E+36    
             SUBSET   : 21 by 13 by 12 points (LONGITUDE-LATITUDE-TIME)
  	40E     	42E     	44E     	46E     	48E     	50E     	52E     	54E     	56E     	58E     	60E     	62E     	64E     	66E     	68E     	70E     	72E     	74E     	76E     	78E     	80E     
 ---- L:1 T:   30-DEC 00:00
6N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.43	26.58	26.83	27.11	27.37	27.6	27.81	27.99	28.14	28.23	28.25	28.21	28.14	28.06	27.95	27.89
8N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.38	26.44	26.6	26.82	27.05	27.26	27.47	27.68	27.89	28.07	28.18	28.23	28.21	28.09	27.78	27.52
10N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.13	26.27	26.42	26.58	26.75	26.95	27.21	27.5	27.78	28.02	28.19	28.26	28.23	-9.969E+36	27.22
12N	-9.969E+36	-9.969E+36	25.82	25.76	25.57	25.57	25.75	25.87	25.96	26.07	26.21	26.39	26.65	27.01	27.41	27.77	28.05	28.22	28.29	-9.969E+36	-9.969E+36
14N	-9.969E+36	-9.969E+36	25.76	25.75	25.6	25.47	25.47	25.49	25.52	25.62	25.75	25.91	26.15	26.54	27.03	27.49	27.84	28.05	-9.969E+36	-9.969E+36	-9.969E+36
16N	26.47	26.27	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	25.31	25.22	25.16	25.23	25.38	25.52	25.72	26.11	26.64	27.12	27.47	27.74	-9.969E+36	-9.969E+36	-9.969E+36
18N	26.8	26.7	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.92	24.92	25.03	25.17	25.33	25.67	26.13	26.46	26.61	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
20N	26.83	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.69	24.7	24.8	24.94	25.16	25.38	25.5	25.66	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
22N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.31	24.4	24.51	24.55	24.55	24.68	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
24N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	23.88	24.04	24.11	24.04	24.02	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
26N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	21.58	22.37	23.1	23.46	23.62	-9.969E+36	23.88	23.8	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
28N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	19.98	20.86	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
30N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	19.52	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
 ---- L:2 T:   30-JAN 00:00
6N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.86	27.03	27.26	27.48	27.69	27.88	28.07	28.22	28.35	28.44	28.49	28.49	28.48	28.43	28.33	28.26
8N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.75	26.78	26.9	27.06	27.23	27.41	27.62	27.84	28.05	28.24	28.39	28.49	28.53	28.46	28.19	27.93
10N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.39	26.49	26.59	26.7	26.85	27.06	27.33	27.64	27.93	28.18	28.39	28.53	28.56	-9.969E+36	27.65
12N	-9.969E+36	-9.969E+36	25.84	25.79	25.68	25.76	25.95	26.05	26.1	26.18	26.29	26.47	26.78	27.16	27.55	27.9	28.2	28.42	28.56	-9.969E+36	-9.969E+36
14N	-9.969E+36	-9.969E+36	25.79	25.8	25.7	25.63	25.65	25.66	25.67	25.73	25.83	25.98	26.26	26.67	27.14	27.58	27.94	28.18	-9.969E+36	-9.969E+36	-9.969E+36
16N	26.07	25.99	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	25.48	25.38	25.3	25.33	25.44	25.57	25.79	26.2	26.71	27.16	27.5	27.81	-9.969E+36	-9.969E+36	-9.969E+36
18N	26.23	26.22	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	25	24.96	25.05	25.17	25.35	25.7	26.15	26.44	26.56	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
20N	26.13	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.67	24.64	24.72	24.86	25.1	25.33	25.42	25.55	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
22N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.13	24.19	24.29	24.37	24.41	24.56	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
24N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	23.57	23.71	23.76	23.74	23.8	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
26N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	20.47	21.41	22.38	22.97	23.25	-9.969E+36	23.46	23.42	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
28N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	18.83	19.73	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
30N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	18.37	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
 ---- L:3 T:   27-FEB 00:00
6N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	28.09	28.21	28.36	28.5	28.62	28.73	28.85	28.95	29.05	29.13	29.19	29.22	29.25	29.24	29.16	29.08
8N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	27.9	27.9	27.97	28.05	28.16	28.29	28.45	28.62	28.8	28.97	29.12	29.23	29.32	29.32	29.12	28.9
10N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	27.5	27.59	27.64	27.7	27.81	27.99	28.22	28.46	28.7	28.91	29.11	29.29	29.39	-9.969E+36	28.7
12N	-9.969E+36	-9.969E+36	26.67	26.62	26.56	26.76	27.06	27.21	27.26	27.3	27.38	27.54	27.79	28.08	28.36	28.62	28.89	29.14	29.33	-9.969E+36	-9.969E+36
14N	-9.969E+36	-9.969E+36	26.62	26.62	26.57	26.63	26.78	26.86	26.88	26.93	27	27.14	27.37	27.68	28	28.3	28.6	28.85	-9.969E+36	-9.969E+36	-9.969E+36
16N	26.66	26.68	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.65	26.58	26.49	26.52	26.63	26.76	26.95	27.25	27.6	27.88	28.15	28.45	-9.969E+36	-9.969E+36	-9.969E+36
18N	26.68	26.77	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.14	26.08	26.19	26.34	26.52	26.78	27.07	27.21	27.27	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
20N	26.43	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	25.74	25.73	25.85	26.01	26.19	26.32	26.32	26.38	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
22N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	25.18	25.27	25.39	25.47	25.5	25.61	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
24N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	24.58	24.74	24.8	24.8	24.91	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
26N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	21.01	21.98	23.07	23.82	24.21	-9.969E+36	24.46	24.45	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
28N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	19.5	20.31	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
30N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	19.1	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
 ---- L:4 T:   30-MAR 00:00
6N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.36	29.49	29.61	29.69	29.74	29.77	29.81	29.85	29.91	29.97	30.01	30.03	30.04	29.99	29.88	29.8
8N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.16	29.2	29.3	29.39	29.45	29.51	29.59	29.67	29.78	29.9	30.01	30.09	30.14	30.11	29.95	29.81
10N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	28.93	29.08	29.16	29.2	29.25	29.33	29.43	29.57	29.71	29.86	30.01	30.14	30.2	-9.969E+36	29.77
12N	-9.969E+36	-9.969E+36	28.22	28.18	28.14	28.33	28.66	28.88	28.96	28.99	29.01	29.07	29.18	29.31	29.45	29.62	29.81	30.02	30.18	-9.969E+36	-9.969E+36
14N	-9.969E+36	-9.969E+36	28.18	28.18	28.15	28.27	28.51	28.67	28.72	28.74	28.77	28.81	28.91	29.03	29.17	29.33	29.55	29.75	-9.969E+36	-9.969E+36	-9.969E+36
16N	28.16	28.22	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	28.47	28.44	28.35	28.35	28.42	28.49	28.57	28.69	28.83	28.97	29.15	29.4	-9.969E+36	-9.969E+36	-9.969E+36
18N	28.11	28.26	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	27.95	27.85	27.96	28.09	28.18	28.27	28.37	28.4	28.44	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
20N	27.77	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	27.5	27.51	27.63	27.73	27.78	27.78	27.72	27.76	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
22N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	27.11	27.17	27.21	27.2	27.16	27.2	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
24N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	26.72	26.77	26.71	26.65	26.71	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
26N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	23.44	24.34	25.39	26.12	26.47	-9.969E+36	26.4	26.35	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
28N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	22.18	22.83	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
30N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	21.87	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
 ---- L:5 T:   29-APR 00:00
6N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.08	29.38	29.66	29.85	29.97	30.02	30	29.98	29.98	29.99	29.98	29.96	29.89	29.74	29.57	29.52
8N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.03	29.19	29.46	29.72	29.9	29.99	30.01	30	30.01	30.04	30.06	30.07	30.01	29.85	29.65	29.65
10N	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.24	29.43	29.69	29.87	29.95	29.97	29.98	30	30.03	30.08	30.12	30.11	30.03	-9.969E+36	29.84
12N	-9.969E+36	-9.969E+36	30.07	30.1	29.99	29.73	29.55	29.63	29.8	29.89	29.92	29.93	29.96	29.97	30	30.05	30.12	30.16	30.16	-9.969E+36	-9.969E+36
14N	-9.969E+36	-9.969E+36	30.07	30.13	30.09	29.94	29.85	29.85	29.86	29.84	29.84	29.87	29.91	29.93	29.95	30	30.07	30.13	-9.969E+36	-9.969E+36	-9.969E+36
16N	30.01	30.11	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.96	29.82	29.62	29.55	29.61	29.71	29.79	29.82	29.83	29.85	29.92	30.02	-9.969E+36	-9.969E+36	-9.969E+36
18N	29.87	30.09	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36	29.21	29.07	29.21	29.42	29.55	29.6	29.59	29.55	29.54	-9.969E+36	-9.969E+36	-9.969E+36	-9.969E+36
